# Alpha158 因子 IC 和 Rank IC 分析结果
分析时间: 2026-04-17 14:14:44.287603
时间范围: 2018-01-01 到 2018-12-31
股票池: csi300
因子数量: 158

## 每个因子的平均 IC 和 Rank IC (按平均 IC 排序)
           avg_ic  avg_rank_ic  rank_ic  rank_rank_ic
2018-07-24   -0.134707
2018-07-25    0.097208
2018-07-26   -0.012709
2018-07-27   -0.033706
2018-07-30    0.045167
2018-07-31    0.199980
2018-08-01   -0.101411
2018-08-02   -0.061754
2018-08-03    0.088223
2018-08-06    0.006051
2018-08-07    0.100763
2018-08-08    0.069165
2018-08-09    0.137828
2018-08-10   -0.222256
2018-08-13   -0.024802
2018-08-14    0.074219
2018-08-15   -0.039603
2018-08-16    0.160671
2018-08-17    0.082488
2018-08-20    0.141123
2018-08-21    0.027996
2018-08-22   -0.030288
2018-08-23    0.049623
2018-08-24   -0.026412
2018-08-27   -0.025141
2018-08-28    0.009713
2018-08-29    0.129231
2018-08-30    0.158066
2018-08-31    0.014852
2018-09-03   -0.158638
2018-09-04    0.072813
2018-09-05   -0.049497
2018-09-06   -0.007235
2018-09-07    0.043806
2018-09-10   -0.076132
2018-09-11    0.086947
2018-09-12   -0.166501
2018-09-13    0.058245
2018-09-14   -0.018758
2018-09-17   -0.108021
2018-09-18    0.179337
2018-09-19    0.097556
2018-09-20    0.075917
2018-09-21    0.030852
2018-09-25    0.075382
2018-09-26   -0.022264
2018-09-27   -0.082172
2018-09-28   -0.019776
2018-10-08    0.066316
2018-10-09    0.185716
2018-10-10    0.353956
2018-10-11    0.157121
2018-10-12    0.038741
2018-10-15   -0.023210
2018-10-16   -0.087322
2018-10-17    0.018508
2018-10-18   -0.191325
2018-10-19    0.113889
2018-10-22   -0.003150
2018-10-23   -0.081016
2018-10-24   -0.023209
2018-10-25    0.071530
2018-10-26   -0.020192
2018-10-29   -0.097672
2018-10-30   -0.123768
2018-10-31   -0.222283
2018-11-01   -0.115747
2018-11-02    0.239227
2018-11-05    0.267139
2018-11-06    0.161726
2018-11-07   -0.093973
2018-11-08   -0.116852
2018-11-09   -0.231688
2018-11-12   -0.096945
2018-11-13   -0.071902
2018-11-14   -0.030031
2018-11-15    0.092936
2018-11-16   -0.077243
2018-11-19    0.097928
2018-11-20   -0.011155
2018-11-21    0.207404
2018-11-22    0.072329
2018-11-23    0.011802
2018-11-26    0.062542
2018-11-27    0.191129
2018-11-28   -0.225809
2018-11-29   -0.117476
2018-11-30   -0.150311
2018-12-03   -0.250406
2018-12-04   -0.061861
2018-12-05    0.052000
2018-12-06    0.167502
2018-12-07    0.230562
2018-12-10    0.290249
2018-12-11    0.182812
2018-12-12    0.098517
2018-12-13    0.003723
2018-12-14    0.118871
2018-12-17    0.108337
2018-12-18    0.262221
2018-12-19   -0.145446
2018-12-20    0.143833
2018-12-21   -0.107992
2018-12-24   -0.091953
2018-12-25   -0.110953
2018-12-26    0.137008
2018-12-27    0.058489
2018-12-28    0.082039

### 因子: RSQR20 (排名: 2)
datetime
2018-01-02    0.002633
2018-01-03   -0.056730
2018-01-04    0.099286
2018-01-05   -0.080038
2018-01-08    0.054394
2018-01-09   -0.126399
2018-01-10    0.035442
2018-01-11    0.129757
2018-01-12    0.235762
2018-01-15   -0.193356
2018-01-16   -0.001306
2018-01-17   -0.197812
2018-01-18   -0.022480
2018-01-19    0.198477
2018-01-22    0.039259
2018-01-23   -0.171129
2018-01-24    0.189932
2018-01-25    0.038105
2018-01-26   -0.199566
2018-01-29    0.105397
2018-01-30    0.145619
2018-01-31    0.023895
2018-02-01    0.140686
2018-02-02    0.026540
2018-02-05   -0.117471
2018-02-06   -0.016099
2018-02-07    0.240019
2018-02-08    0.140701
2018-02-09   -0.062544
2018-02-12   -0.009044
2018-02-13   -0.123994
2018-02-14    0.053830
2018-02-22    0.070064
2018-02-23    0.178860
2018-02-26    0.066667
2018-02-27   -0.122501
2018-02-28    0.050624
2018-03-01   -0.085652
2018-03-02    0.115303
2018-03-05    0.049378
2018-03-06   -0.215086
2018-03-07    0.157755
2018-03-08    0.151360
2018-03-09   -0.094380
2018-03-12   -0.108961
2018-03-13    0.053961
2018-03-14   -0.107051
2018-03-15    0.334702
2018-03-16    0.174698
2018-03-19   -0.126363
2018-03-20    0.004002
2018-03-21    0.087372
2018-03-22    0.008140
2018-03-23   -0.102001
2018-03-26    0.026384
2018-03-27    0.020556
2018-03-28   -0.118572
2018-03-29   -0.102738
2018-03-30   -0.095607
2018-04-02    0.200861
2018-04-03   -0.082229
2018-04-04    0.274330
2018-04-09    0.022308
2018-04-10   -0.110296
2018-04-11    0.034638
2018-04-12    0.024289
2018-04-13   -0.046317
2018-04-16   -0.178914
2018-04-17    0.019829
2018-04-18    0.061810
2018-04-19   -0.078501
2018-04-20   -0.001451
2018-04-23   -0.102728
2018-04-24   -0.053422
2018-04-25    0.100080
2018-04-26    0.064538
2018-04-27    0.098399
2018-05-02   -0.051954
2018-05-03   -0.053669
2018-05-04    0.031914
2018-05-07    0.007430
2018-05-08   -0.003524
2018-05-09    0.004231
2018-05-10   -0.090801
2018-05-11    0.098605
2018-05-14    0.044284
